"","run_accession","submission_accession","study_abstract","study_description"
"1","SRR2992957","SRA319014","Metagenomic sequencing to identify and measure the abundances of microorganisms present in stool samples from athletes",NA
"2","SRR3131990","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"3","SRR1569742","SRA181599","This study investigated the successional patterns of functional and taxonomic diversity for over one year after the Deepwater Horizon oil was deposited on Pensacola Beach sands (FL, USA), using metagenomic and 16S rRNA gene amplicon techniques.",NA
"4","ERR209131","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"5","SRR5240389","SRA536700","Raw sequence data from ambulances across the United States",NA
"6","SRR5249720","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"7","SRR1462101","SRA146236","C.diff FMT",NA
"8","ERR209374","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"9","SRR5249713","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"10","SRR1462092","SRA146236","C.diff FMT",NA
"11","SRR5253647","SRA537985",NA,NA
